Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Bryan Yang,Brown|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Chino Hills, CA, US",0,"6' 2""",180,SO,30,Brown University,BRWN,Brown,BBC
Jacob Gomberg,UNLV|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unlv.svg,P,0.10,0.08,1,-,-0.01,-,0.02,-,0,-,-,,-,-,-,-,"Coral Springs, FL, US",0,"5' 10""",180,JR,38,UNLV,UNLV,UNLV,BBC
Sebastian Santos-Olson,Miami|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Port Chester, NY, US",0,"6' 3""",215,FR,55,University of Miami,MIA,Miami,BBC
Dan McAliney,Binghamton|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,P,0.10,0.11,1,0.00,-0.01,-,-,-,0,-,-,,-,-,-,-,"Webster, NY, US",22,"6' 5""",215,SR,8,Binghamton University,BING,Binghamton,BBC
Owen Bond,St. Thomas (MN)|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-thomas-mn.svg,CF,0.10,-,0,-,-,-,-,0.10,14,-,-,,-,-,-,-,"Pewaukee, WI, US",0,"6' 3""",205,JR,45,University of St. Thomas (Minn.),UOST,University of St. Thomas (Minn.),BBC
Antonio Correa,Lafayette|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lafayette.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Lighthouse Point, FL, US",0,"6' 1""",195,SR,17,Lafayette College,LAF,Lafayette,BBC
Finn Ellis,Southern Indiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ind.svg,C,0.10,-,0,-,-,-,-,-,0,-,-0.04,2,0.13,-,-,-,"Montgomery, OH, US",0,"6' 0""",185,JR,89,University of Southern Indiana,SIND,Southern Indiana,BBC
Jase Evangelista,UNLV|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unlv.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Riverside, CA, US",21,"6' 2""",195,JR,1,UNLV,UNLV,UNLV,BBC
Aidan McAskie,Pittsburgh|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pittsburgh.svg,LF,0.10,-,0,-,-,-,-,0.10,2,-,-,,-,-,-,-,"Toronto, Alberta, CAN",23,"6' 4""",215,GRAD,9,University of Pittsburgh,PITT,Pittsburgh,BBC
Addison Ainsworth,Army|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg,LF,0.10,-,0,-,-,-,-,0.10,2,-,-,,-,-,-,-,"Baton Rouge, LA, US",24,"6' 0""",205,SR,27,Army West Point,ARMY,Army,BBC
Caleb Hughes,Mercer|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mercer.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Woodstock, GA, US",0,"6' 1""",205,R-FR,3,Mercer University,MER,Mercer,BBC
Jackson Bradfield,Kennesaw State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg,RF,0.10,-,0,-,-,-,-,0.10,5,-,-,,-,-,-,-,"Canton, GA, US",20,"5' 11""",202,SO,6,Kennesaw State University,KENN,Kennesaw State,BBC
Austin Ellis,Northwestern State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern-st.svg,C,0.10,-,0,-,-,-,-,-,0,-,0.10,1,-,-,-,-,"Saratoga Springs, UT, US",0,"5' 10""",230,SO,55,Northwestern State University,NWST,Northwestern State,BBC
Dalton Bargo,NC State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina-st.svg,3B,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Omaha, NE, US",22,"6' 1""",195,SR,6,North Carolina State University,NCST,North Carolina State,BBC
Michael Benedict,Bethune-Cookman|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg,P,0.10,0.10,2,-,-,-,-,-,0,-,-,,-,-,-,-,"Fort Pierce, FL, US",0,"6' 2""",197,JR,23,Bethune-Cookman University,COOK,Bethune-Cookman,BBC
