Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,994364231,Rams,San Francisco (JC),San Francisco (JC),San Francisco (JC),SFJC,BBC,,994364231,BBC,Rams,SFJC,San Francisco (JC),CCCAA Coast Golden Gate
1,545196169,Wolverines,San Bernardino (JC),San Bernardino (JC),San Bernardino (JC),SBJC,BBC,,545196169,BBC,Wolverines,SBJC,San Bernardino (JC),CCCAA Pacific Coast
1,576333716,Roadrunners,Desert (JC),Desert (JC),Desert (JC),DJC,BBC,,576333716,BBC,Roadrunners,DJC,Desert (JC),CCCAA Pacific Coast
1,549741390,Vikings,Diablo Valley (JC),Diablo Valley (JC),Diablo Valley (JC),DVJC,BBC,,549741390,BBC,Vikings,DVJC,Diablo Valley (JC),CCCAA Big 8
1,675603595,Pirates,Modesto (JC),Modesto (JC),Modesto (JC),MJC,BBC,,675603595,BBC,Pirates,MJC,Modesto (JC),CCCAA Big 8
1,669621217,Huskies,East Los Angeles (JC),East Los Angeles (JC),East Los Angeles (JC),ELAJ,BBC,,669621217,BBC,Huskies,ELAJ,East Los Angeles (JC),CCCAA South Coast
1,756268650,Lancers,Pasadena City (JC),Pasadena City (JC),Pasadena City (JC),PCJC,BBC,,756268650,BBC,Lancers,PCJC,Pasadena City (JC),CCCAA South Coast
1,579559996,Golden Eagles,Feather River (JC),Feather River (JC),Feather River (JC),FRJC,BBC,,579559996,BBC,Golden Eagles,FRJC,Feather River (JC),CCCAA Golden Valley
1,601965799,Knights,Shasta (JC),Shasta (JC),Shasta (JC),SJC,BBC,,601965799,BBC,Knights,SJC,Shasta (JC),CCCAA Golden Valley
1,722882277,Bear Cubs,Santa Rosa (JC),Santa Rosa (JC),Santa Rosa (JC),SRJC,BBC,,722882277,BBC,Bear Cubs,SRJC,Santa Rosa (JC),CCCAA Big 8
1,762116055,Falcons,Folsom Lake JC,Folsom Lake JC,Folsom Lake JC,FLJC,BBC,,762116055,BBC,Falcons,FLJC,Folsom Lake JC,CCCAA Big 8
1,872941573,Hornets,Fullerton (JC),Fullerton (JC),Fullerton (JC),FJC,BBC,,872941573,BBC,Hornets,FJC,Fullerton (JC),CCCAA Orange Empire
1,879178427,Gauchos,Saddleback (JC),Saddleback (JC),Saddleback (JC),SJC,BBC,,879178427,BBC,Gauchos,SJC,Saddleback (JC),CCCAA Orange Empire
1,579739210,Panthers,Hartnell (JC),Hartnell (JC),Hartnell (JC),HJC,BBC,,579739210,BBC,Panthers,HJC,Hartnell (JC),CCCAA Coast Pacific
1,823941822,Rams,Gavilian (JC),Gavilian (JC),Gavilian (JC),GJC,BBC,,823941822,BBC,Rams,GJC,Gavilian (JC),CCCAA Coast Pacific
1,764681470,Knights,San Diego City (JC),San Diego City (JC),San Diego City (JC),SDCJ,BBC,,764681470,BBC,Knights,SDCJ,San Diego City (JC),CCCAA Pacific Coast
1,782866779,Griffins,Grossmont (JC),Grossmont (JC),Grossmont (JC),GJC,BBC,,782866779,BBC,Griffins,GJC,Grossmont (JC),CCCAA Pacific Coast
1,813017826,Arabs,Imperial Valley (JC),Imperial Valley (JC),Imperial Valley (JC),IVJC,BBC,,813017826,BBC,Arabs,IVJC,Imperial Valley (JC),CCCAA Pacific Coast
